Symptom,Category,Allowed_Values,Generic_Severity_Rubric,Modeling_Note
Fever,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Low_Back_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Neck_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Shoulder_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Knee_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hip_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Bone_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Limited_Mobility,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sciatic_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Heel_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Jaw_Pain,Musculoskeletal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Red_Eyes,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Eye_Pain,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Eye_Discharge,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Watery_Eyes,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dry_Eyes,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Halo_Around_Lights,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Ear_Pain,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Ear_Discharge,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hearing_Loss,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Ringing_in_Ears,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sinus_Pressure,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Facial_Pain,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Toothache,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Gum_Swelling,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Bad_Breath,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Mouth_Ulcers,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Nosebleed,Eye_ENT_Dental,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Heat_Intolerance,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Cold_Intolerance,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Excessive_Sweating,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dry_Mouth,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Increased_Hunger,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Delayed_Wound_Healing,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Brittle_Nails,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Puffy_Face,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Central_Weight_Gain,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Salt_Craving,Endocrine_Metabolic,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Irregular_Periods,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Heavy_Periods,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Painful_Periods,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Missed_Period,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Vaginal_Discharge,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Vaginal_Bleeding,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Painful_Intercourse,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Genital_Itching,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Testicular_Pain,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Erectile_Dysfunction,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Breast_Lump,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Nipple_Discharge,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Infertility,Reproductive,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Anxiety,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Panic,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Depressed_Mood,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Loss_of_Interest,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Irritability,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Mood_Swings,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Racing_Thoughts,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hallucinations,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Self_Harm_Thoughts,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Social_Withdrawal,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Compulsive_Behavior,Mental_Behavioral,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
